date,year,quarter,industry,subindustry,institutional_sector,gva_constant,gva_current,total_gva,industry_share_pct,qoq_growth_pct,yoy_growth_pct,industry_rank,rolling_avg_4q,growth_contribution,volatility,cumulative_gva
2015-04-01,2015-16,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,371273.0687,499370.0874,5120390.113643242,7.250874649389422,-12.747065020844895,2.376999710260619,5.0,404793.66435,-47326.41947207513,45.497959088645516,7037933.858
2015-07-01,2015-16,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,307806.1949,424241.2362,5156457.61244469,5.96933433830882,-17.09439201238784,2.7754541808591604,6.0,406871.7432,-52617.59759462055,45.442004792603406,7345740.0529
2015-10-01,2015-16,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,511553.11,721066.2167,5274015.488085801,9.69949957780021,66.19324707424855,-2.1688979479222548,2.0,404036.483075,338613.6140183024,41.249275769766605,7857293.1629
2016-01-01,2016-17,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,460425.9335,658690.1972,5803908.400888491,7.933032392956369,-9.994500180049737,8.204762007269961,5.0,412764.576775,-46017.27075265318,39.84329811815541,8317719.0964
2016-04-01,2016-17,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,389609.6502,573091.6564,5597462.055325313,6.9604696976790255,-15.380602643660602,4.938839642801152,5.0,417348.72215000005,-59924.31215861802,40.288596661969635,8707328.7466
2016-07-01,2016-17,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,326769.1629,485561.8655,5583995.722212486,5.851887772767272,-16.129089017107713,6.160684324810517,6.0,422089.46415,-52704.88916459872,40.107185890667395,9034097.9095
2016-10-01,2016-17,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,549199.104,801318.3016,5671235.64840239,9.68394082081057,68.06944055736052,7.359156510650489,2.0,431500.96265,373836.7576388366,41.043152542992594,9583297.0135
2017-01-01,2017-18,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,496509.9208,743005.4552,6233203.378412149,7.965565868099131,-9.593821769964139,7.837088372868561,5.0,440521.959475,-47634.276871742106,40.98947140303303,10079806.9343
2017-04-01,2017-18,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,413332.3812,620726.6232,5876219.887781231,7.033984246564128,-16.75244262309612,6.088845845533419,5.0,446452.6422250001,-69243.27000320694,41.24123210284932,10493139.3155
2017-07-01,2017-18,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,348961.8905,551157.1884,5893345.636374887,5.921286685548165,-15.573541688922976,6.791561175187,6.0,452000.82412500004,-54345.72549547125,41.14089142902176,10842101.206
